date,pitcher,line,over_odds,under_odds
2026-06-07,Jack Flaherty,5.5,,114
2026-06-07,Bubba Chandler,4.5,,107
2026-06-07,Luis Castillo,4.5,102,
2026-06-07,Sandy Alcantara,4.5,,-110
2026-06-07,Mike Burrows,4.5,,-122
2026-06-07,José Soriano,4.5,,-128
2026-06-07,Joey Cantillo,4.5,,-134
2026-06-07,Bryce Elder,4.5,,-142
2026-06-07,Shane Baz,4.5,-118,
2026-06-07,Kevin Gausman,5.5,,-110
2026-06-07,Jacob deGrom,6.5,-110,
2026-06-08,Miles Mikolas,3.5,135,
2026-06-08,Will Warren,4.5,108,
2026-06-08,Emerson Hancock,4.5,-146,
2026-06-08,Patrick Corbin,3.5,,126
2026-06-08,Andrew Abbott,4.5,,-130
2026-06-08,Connelly Early,4.5,,121
2026-06-08,Kyle Harrison,6.5,,119
2026-06-08,Gavin Williams,6.5,-144,
2026-06-08,Spencer Arrighetti,5.5,108,
2026-06-08,Cristopher Sánchez,6.5,108,
2026-06-08,Walker Buehler,4.5,105,
2026-06-08,Logan Webb,5.5,,-147
2026-06-09,669302,6.5,101,-128
2026-06-09,669432,4.5,-135,106
2026-06-09,676974,5.5,-122,-105
2026-06-09,668678,4.5,-102,-125
2026-06-09,801139,5.5,-135,106
2026-06-09,607259,3.5,-134,105
2026-06-09,677944,4.5,118,-144
2026-06-09,543037,5.5,130,-160
2026-06-09,671737,5.5,-128,100
2026-06-09,675512,4.5,105,-134
2026-06-09,694973,6.5,-105,-121
2026-06-09,641778,4.5,123,-157
2026-06-09,656302,6.5,-127,-101
2026-06-09,554430,5.5,-138,108
2026-06-09,642547,5.5,-150,118
2026-06-09,669160,4.5,-153,120
2026-06-09,656550,4.5,-120,-106
2026-06-09,543135,5.5,122,-156
2026-06-09,663568,3.5,-155,121
2026-06-09,607067,3.5,-140,110
2026-06-09,608372,2.5,-174,136
2026-06-09,700712,4.5,126,-154
2026-06-09,695505,6.5,-101,-126
2026-06-09,608337,4.5,-103,-124
2026-06-09,674841,4.5,105,-134
2026-06-09,605288,3.5,101,-129
2026-06-09,688107,4.5,107,-136
2026-06-09,669372,4.5,118,-150
2026-06-10,669923,4.5,-159,125
2026-06-10,687064,4.5,-120,-107
2026-06-10,669194,4.5,118,-151
2026-06-10,664285,4.5,-159,125
2026-06-10,660271,6.5,-104,-123
2026-06-10,683003,4.5,-159,124
2026-06-10,666200,5.5,-114,-112
2026-06-10,453286,3.5,-154,120
2026-06-10,669467,3.5,-153,120
2026-06-10,519242,7.5,-105,-122
2026-06-10,663436,4.5,-115,-105
2026-06-10,669022,4.5,-121,-105
2026-06-10,607625,4.5,106,-136
2026-06-10,684007,5.5,123,-158
2026-06-10,547179,3.5,-111,-115
2026-06-10,678022,4.5,-119,-107
2026-06-10,687075,4.5,123,-158
2026-06-10,672282,6.5,103,-132
2026-06-10,663567,4.5,-152,119
2026-06-11,680736,4.5,-158,123
2026-06-11,656605,4.5,132,-169
2026-06-11,693433,6.5,125,-160
2026-06-11,680694,5.5,100,-127
2026-06-11,527048,4.5,119,-152
2026-06-11,641743,3.5,-151,118
2026-06-11,Shane McClanahan,6.5,115,-147
2026-06-11,Samuel Aldegheri,3.5,138,-177
2026-06-10,650633,6.5,,
2026-06-10,592662,5.5,,-164
2026-06-10,663903,4.5,,
2026-06-12,677952,5.5,-135,106
2026-06-12,645261,4.5,108,-138
2026-06-12,669358,4.5,-140,110
2026-06-12,656288,4.5,105,-134
2026-06-12,683004,5.5,124,-158
2026-06-12,543243,5.5,128,-163
2026-06-12,676440,4.5,-159,124
2026-06-12,656427,4.5,-155,122
2026-06-12,593958,5.5,126,-160
2026-06-12,666157,4.5,-110,-115
2026-06-12,682243,4.5,-126,-101
2026-06-12,641793,3.5,128,-164
2026-06-12,702056,6.5,119,-152
2026-06-12,677960,4.5,-161,126
2026-06-12,808963,5.5,-113,-113
2026-06-12,641743,3.5,115,-147
2026-06-12,694819,8.5,-116,-110
2026-06-12,675911,5.5,-134,105
2026-06-12,690997,5.5,-127,100
2026-06-12,837227,4.5,-103,-124
2026-06-12,679883,3.5,-125,-102
2026-06-12,657746,5.5,-153,120
2026-06-12,681517,4.5,131,-168
2026-06-12,663556,5.5,-136,106
2026-06-12,691951,2.5,-162,126
2026-06-12,695611,5.5,-101,-126
2026-06-12,694738,5.5,117,-149
2026-06-12,665871,2.5,-169,132
2026-06-13,676962,4.5,-121,
2026-06-13,527048,3.5,-150,
2026-06-13,680732,4.5,-137,
2026-06-13,622491,4.5,-104,
2026-06-13,686790,4.5,+100,
2026-06-13,695076,3.5,,-115
2026-06-13,681190,3.5,-115,
2026-06-13,676282,5.5,,-161
2026-06-13,643377,5.5,,-125
2026-06-13,624133,5.5,,-113
2026-06-13,696149,4.5,-109,
2026-06-13,592332,6.5,,-157
2026-06-13,669373,5.5,-110,
2026-06-13,667755,5.5,,-110
2026-06-13,693645,5.5,+128,
2026-06-13,607536,4.5,,-145
2026-06-13,687570,4.5,-130,
2026-06-13,647336,6.5,,-152
2026-06-13,605400,4.5,,+119
2026-06-13,808967,6.5,+118,
2026-06-15,554430,6.5,107,-136
2026-06-15,687473,3.5,-130,102
2026-06-15,674841,4.5,118,-151
2026-06-15,687765,3.5,123,-157
2026-06-15,695505,7.5,112,-142
2026-06-15,669160,5.5,114,-145
2026-06-15,684007,6.5,123,-158
2026-06-15,547179,4.5,129,-166
2026-06-15,669022,6.5,122,-156
2026-06-15,678906,5.5,124,-159
2026-06-15,669194,5.5,130,-166
2026-06-15,700712,4.5,111,-142
2026-06-15,669372,4.5,-140,110
2026-06-15,683003,4.5,-133,104
2026-06-15,607259,3.5,106,-136
2026-06-15,641778,3.5,130,-166
2026-06-16,666200,6.5,-104,-122
2026-06-16,663969,3.5,-153,120
2026-06-16,656302,6.5,-135,106
2026-06-16,801139,4.5,-157,123
2026-06-16,656492,5.5,109,-139
2026-06-16,608379,4.5,130,-166
2026-06-16,663436,5.5,-109,-117
2026-06-16,543037,5.5,-107,-119
2026-06-16,673540,4.5,-146,114
2026-06-16,663903,4.5,-107,-119
2026-06-16,656550,4.5,-118,-108
2026-06-16,605288,3.5,120,-153
2026-06-16,688107,5.5,125,-160
2026-06-16,677944,4.5,109,-139
2026-06-16,650633,4.5,104,-132
2026-06-16,669467,3.5,-137,108
2026-06-16,665795,5.5,100,-127
2026-06-16,663372,3.5,-118,-108
2026-06-16,805673,4.5,-110,-116
2026-06-16,677958,4.5,110,-141
2026-06-16,686613,6.5,-129,101
2026-06-16,664285,4.5,-108,-118
2026-06-16,672282,5.5,120,-154
2026-06-16,518876,4.5,108,-138
2026-06-16,678022,4.5,-148,116
2026-06-16,656605,4.5,124,-158
2026-06-16,669302,6.5,-142,111
2026-06-16,687064,4.5,109,-139
2026-06-16,656876,5.5,108,-138
2026-06-16,680736,4.5,129,-166
2026-06-17,687562,3.5,137,-176
2026-06-17,607074,5.5,-148,116
2026-06-17,641743,4.5,-108,-118
2026-06-17,687931,3.5,-152,119
2026-06-17,702275,3.5,-135,106
2026-06-17,668909,6.5,-108,-118
2026-06-17,687075,4.5,-137,107
2026-06-17,665871,3.5,-159,125
2026-06-17,677952,5.5,-109,-117
2026-06-17,650644,3.5,101,-129
2026-06-17,669923,5.5,-159,125
2026-06-17,680694,5.5,100,-128
